0.160387 17.8593 0.119182
0.202095 15.6193 0.1311
0.252716 14.6942 0.14421
0.311768 14.3648 0.158631
0.380864 13.5551 0.174494
0.46094 13.6159 0.191943
0.550624 13.2835 0.211138
0.6517 13.286 0.232252
0.762564 13.3127 0.255477
0.881399 13.1881 0.281024
1.00863 13.1635 0.309127
1.1396 13.1959 0.340039
1.27269 13.1555 0.374043
1.40584 13.0853 0.411448
1.53346 12.9336 0.452593
1.65443 12.7682 0.497852
1.76534 12.6697 0.547637
1.86266 12.4229 0.602401
1.94616 12.261 0.662641
2.01354 11.9695 0.728905
2.06437 11.7207 0.801795
2.09958 11.4726 0.881975
2.11903 11.191 0.970172
2.12425 10.8666 1.06719
2.11702 10.579 1.17391
2.09884 10.2866 1.2913
