0 0 0 0 45 1.9734e-10
0.001 0.0462068 0.0154064 0 45 1.9734e-10
0.002 0.116443 0.038831 0 45 1.9734e-10
0.003 0.199954 0.0666889 0 45 1.9734e-10
0.004 0.293455 0.097885 0 45 1.9734e-10
0.005 0.395165 0.131826 0 45 1.9734e-10
0.006 0.503937 0.168129 0 45 1.9734e-10
0.007 0.618955 0.206523 0 45 1.9734e-10
0.008 0.739609 0.246803 0 45 1.9734e-10
0.009 0.865415 0.288809 0 45 1.9734e-10
0.01 0.995985 0.332412 0 45 1.9734e-10
0.011 1.131 0.377502 0 45 1.9734e-10
0.012 1.27017 0.423991 0 45 1.9734e-10
0.013 1.41328 0.471798 0 45 1.9734e-10
0.014 1.56012 0.520857 0 45 1.9734e-10
0.015 1.71051 0.571107 0 45 1.9734e-10
0.016 1.86429 0.622495 0 45 1.9734e-10
0.017 2.02131 0.674975 0 45 1.9734e-10
0.018 2.18146 0.728502 0 45 1.9734e-10
0.019 2.34461 0.783038 0 45 1.9734e-10
0.02 2.51065 0.838549 0 45 1.9734e-10
0.021 2.67949 0.895001 0 45 1.9734e-10
0.022 2.85105 0.952365 0 45 1.9734e-10
0.023 3.02523 1.01061 0 45 1.9734e-10
0.024 3.20197 1.06972 0 45 1.9734e-10
0.025 3.38118 1.12966 0 45 1.9734e-10
0.026 3.56282 1.19042 0 45 1.9734e-10
0.027 3.7468 1.25197 0 45 1.9734e-10
0.028 3.93308 1.31429 0 45 1.9734e-10
0.029 4.12159 1.37737 0 45 1.9734e-10
0.03 4.3123 1.44118 0 45 1.9734e-10
0.031 4.50514 1.50572 0 45 1.9734e-10
0.032 4.70008 1.57096 0 45 1.9734e-10
0.033 4.89707 1.63689 0 45 1.9734e-10
0.034 5.09606 1.7035 0 45 1.9734e-10
0.035 5.29703 1.77078 0 45 1.9734e-10
0.036 5.49993 1.8387 0 45 1.9734e-10
0.037 5.70472 1.90727 0 45 1.9734e-10
0.038 5.91137 1.97647 0 45 1.9734e-10
0.039 6.11986 2.04629 0 45 1.9734e-10
0.04 6.33014 2.11671 0 45 1.9734e-10
0.041 6.54219 2.18773 0 45 1.9734e-10
0.042 6.75598 2.25934 0 45 1.9734e-10
0.043 6.97148 2.33153 0 45 1.9734e-10
0.044 7.18867 2.40428 0 45 1.9734e-10
0.045 7.40752 2.4776 0 45 1.9734e-10
0.046 7.628 2.55148 0 45 1.9734e-10
0.047 7.8501 2.6259 0 45 1.9734e-10
0.048 8.07378 2.70085 0 45 1.9734e-10
0.049 8.29903 2.77634 0 45 1.9734e-10
0.05 8.52583 2.85235 0 45 1.9734e-10
0.051 8.75415 2.92888 0 45 1.9734e-10
0.052 8.98398 3.00592 0 45 1.9734e-10
0.053 9.2153 3.08346 0 45 1.9734e-10
0.054 9.44808 3.1615 0 45 1.9734e-10
0.055 9.68231 3.24003 0 45 1.9734e-10
0.056 9.91798 3.31905 0 45 1.9734e-10
0.057 10.1551 3.39855 0 45 1.9734e-10
0.058 10.3935 3.47852 0 45 1.9734e-10
0.059 10.6334 3.55896 0 45 1.9734e-10
0.06 10.8746 3.63987 0 45 1.9734e-10
0.061 11.1172 3.72123 0 45 1.9734e-10
0.062 11.3611 3.80305 0 45 1.9734e-10
0.063 11.6064 3.88532 0 45 1.9734e-10
0.064 11.8529 3.96803 0 45 1.9734e-10
0.065 12.1008 4.05118 0 45 1.9734e-10
0.066 12.3499 4.13477 0 45 1.9734e-10
0.067 12.6003 4.21879 0 45 1.9734e-10
0.068 12.852 4.30324 0 45 1.9734e-10
0.069 13.1049 4.38811 0 45 1.9734e-10
0.07 13.359 4.4734 0 45 1.9734e-10
0.071 13.6144 4.55911 0 45 1.9734e-10
0.072 13.8709 4.64523 0 45 1.9734e-10
0.073 14.1287 4.73175 0 45 1.9734e-10
0.074 14.3876 4.81868 0 45 1.9734e-10
0.075 14.6478 4.90601 0 45 1.9734e-10
0.076 14.9091 4.99374 0 45 1.9734e-10
0.077 15.1715 5.08186 0 45 1.9734e-10
0.078 15.4351 5.17038 0 45 1.9734e-10
0.079 15.6999 5.25928 0 45 1.9734e-10
0.08 15.9657 5.34856 0 45 1.9734e-10
0.081 16.2327 5.43823 0 45 1.9734e-10
0.082 16.5008 5.52827 0 45 1.9734e-10
0.083 16.77 5.61869 0 45 1.9734e-10
0.084 17.0403 5.70948 0 45 1.9734e-10
0.085 17.3117 5.80064 0 45 1.9734e-10
0.086 17.5841 5.89217 0 45 1.9734e-10
0.087 17.8576 5.98406 0 45 1.9734e-10
0.088 18.1322 6.07631 0 45 1.9734e-10
0.089 18.4078 6.16892 0 45 1.9734e-10
0.09 18.6845 6.26189 0 45 1.9734e-10
0.091 18.9622 6.35521 0 45 1.9734e-10
0.092 19.2409 6.44888 0 45 1.9734e-10
0.093 19.5207 6.5429 0 45 1.9734e-10
0.094 19.8014 6.63726 0 45 1.9734e-10
0.095 20.0832 6.73197 0 45 1.9734e-10
0.096 20.366 6.82702 0 45 1.9734e-10
0.097 20.6497 6.92241 0 45 1.9734e-10
0.098 20.9344 7.01814 0 45 1.9734e-10
0.099 21.2202 7.1142 0 45 1.9734e-10
0.1 21.5069 7.21059 0 45 1.9734e-10
0.101 21.7945 7.30731 0 45 1.9734e-10
0.102 22.0831 7.40436 0 45 1.9734e-10
0.103 22.3727 7.50174 0 45 1.9734e-10
0.104 22.6632 7.59944 0 45 1.9734e-10
0.105 22.9547 7.69746 0 45 1.9734e-10
0.106 23.2471 7.7958 0 45 1.9734e-10
0.107 23.5404 7.89446 0 45 1.9734e-10
